I#,Target,Mode,IP,URL Rating,Domain Rating,Ahrefs Rank,Domains,Ref domains Dofollow,Ref domains Governmental,Ref domains Educational,Ref IPs,Ref SubNets,Linked Domains,Total Backlinks,Backlinks Text,Backlinks NoFollow,Backlinks Redirect,Backlinks Image,Backlinks Frame,Backlinks Form,Backlinks Governmental,Backlinks Educational,Total Keywords,Total Traffic
59,nashville-injuryattorney.com,subdomains,198.71.233.184,NA,5,28836751,63,46,0,0,67,64,15,173,173,66,0,0,0,0,0,0,51,5
60,www.pksd.com,subdomains,161.47.47.252,NA,26,6373506,214,122,0,1,329,260,161,6164,6069,901,79,160,2,0,0,154,7030,1565
61,www.beyourvoice.com,subdomains,69.167.186.189,NA,12,15503402,67,31,0,0,75,71,15,20051,20049,177,2,15,0,0,0,0,23,7
62,www.miller-ogorchock.com,subdomains,NA,NA,21,8412670,71,50,0,0,74,68,0,461,459,245,0,51,0,0,0,0,0,0
63,www.nashvillepersonalinjurylawyerwbm.com,subdomains,35.196.247.55,NA,13,14498808,65,20,0,3,43,41,1,189,189,119,0,17,0,0,0,10,43,0
64,www.resminilawoffices.com,subdomains,67.222.22.167,NA,39,1732425,244,160,0,1,574,338,83,19698,19663,7569,27,207,2,0,0,286,842,394
65,farahandfarah.com,subdomains,104.196.159.200,NA,32,3403075,522,345,0,2,635,499,566,48159,47752,14170,406,798,0,0,0,42,14626,5741
66,www.utahadvocates.com,subdomains,104.26.5.95,NA,44,1072741,523,337,0,15,634,521,236,41758,41731,34611,7,585,19,1,0,111,6721,3677
67,www.rozeklaw.com,subdomains,35.172.94.1,NA,27,5868096,182,103,0,1,236,190,369,4337,4274,820,5,24,0,0,0,3,1341,117
68,www.nashvilletnlaw.com,subdomains,104.199.116.217,NA,33,3203436,824,353,0,15,903,725,342,24421,23508,2171,913,177,0,0,0,118,4577,2027
69,taylorinjurylaw.com,subdomains,NA,NA,0,106891325,25,6,0,0,40,37,0,121,121,40,0,34,0,0,0,0,111,88
70,www.lawyers-jacksonville.com,subdomains,64.41.139.49,NA,8,21756320,99,49,0,1,357,193,29,8724,8687,995,37,380,0,0,0,87,1518,153
71,www.tapinjury.com,subdomains,13.226.155.108,NA,9,20076299,88,48,0,1,398,204,195,16569,16558,11806,0,43,0,0,0,101,1735,207
72,www.techmeierlawfirm.com,subdomains,NA,NA,0.6,71801826,38,21,0,0,44,42,0,373,373,280,0,21,0,0,0,0,859,61
73,porterlawfirm.com,subdomains,216.37.78.8,NA,25,6979266,130,97,0,0,134,127,83,658,654,117,4,25,0,0,0,0,246,92
74,www.thehigginsfirm.com,subdomains,64.41.137.162,NA,30,4246378,217,129,0,3,794,331,77,25060,24454,4147,606,1905,0,0,0,262,5441,1840
75,www.learnyourrights.com,subdomains,165.227.95.158,NA,3.6,35819821,51,23,0,0,62,57,42,148,139,69,9,18,0,0,0,0,391,58
76,www.good-legal-advice.com,subdomains,35.202.48.187,NA,32,3269931,559,378,0,2,757,486,398,625675,625156,37971,70,730,99,0,0,1002,5164,805
77,www.skslawyers.com,subdomains,64.70.194.132,NA,7,23705204,151,74,0,1,244,176,15,4150,4149,610,1,73,0,0,0,168,278,74
78,www.gmlblaw.com,subdomains,104.16.108.239,NA,6,25743967,97,32,0,0,83,81,219,4047,4036,2752,11,369,0,0,0,0,364,25
79,www.craiggibbslaw.com,subdomains,165.227.101.14,NA,0.6,70657715,34,22,0,0,37,35,0,152,151,87,1,26,0,0,0,0,2,0
80,www.lrwlawfirm.com,subdomains,67.225.169.128,NA,26,6246691,227,143,1,9,322,227,82,21260,21260,1372,0,103,0,0,2,281,2776,1239
81,memphistnlawyer.com,subdomains,23.229.219.0,NA,4.3,32675867,67,14,0,1,144,91,5,3315,3178,1366,137,1,0,0,0,56,11,0
82,www.ehclaw.com,subdomains,104.16.111.239,NA,9,20628504,31,13,0,1,33,31,12,475,475,202,0,173,0,0,0,5,62,9
83,www.anidjarlevine.com,subdomains,104.154.43.123,NA,34,2927685,1450,363,2,46,1537,1160,0,14083,8805,4035,5277,330,0,0,27,356,22031,9451
84,www.billeasterly.com,subdomains,104.196.201.175,NA,16,12068005,123,85,0,1,171,152,33,1047,1038,149,3,16,0,0,0,6,746,170
85,www.jacksonville-injuryattorney.com,subdomains,205.196.223.162,NA,7,24232654,53,32,0,0,59,58,30,357,356,124,1,7,0,0,0,0,90,1
86,louisgrande.com,subdomains,192.0.78.249,NA,2.1,46305214,52,20,0,0,83,81,33,1822,1814,1263,8,8,0,0,0,0,121,92
87,www.redmannlaw.com,subdomains,34.74.166.108,NA,29,4708666,157,71,0,0,141,131,78,20193,20185,388,7,18802,1,0,0,0,4665,921
88,cooperlawfirmpllc.com,subdomains,35.209.195.121,NA,3.1,39093293,27,14,0,0,38,34,17,311,294,45,15,36,0,0,0,0,138,47
89,www.ripersonalinjurylaw.com,subdomains,144.217.172.14,NA,28,4830389,84,52,0,1,106,104,209,2810,2810,2043,0,318,0,0,0,4,672,114
90,www.pendaslaw.com,subdomains,159.135.32.58,NA,27,5352633,316,169,0,0,295,259,69,33193,33132,16316,11,564,0,0,0,0,10503,6115
91,queenerlaw.com,subdomains,162.241.155.77,NA,20,9066574,105,55,0,5,122,110,120,1434,1345,117,89,19,0,0,0,25,877,125
92,www.robichauxlaw1.com,subdomains,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,www.morselawoffice.com,subdomains,104.239.245.56,NA,20,8888137,110,46,0,0,92,92,68,3163,3153,2711,0,24,0,0,0,0,262,22
94,attorneyguss.com,subdomains,104.198.104.172,NA,51,621740,1521,790,0,41,1475,1123,451,40482,40322,3919,107,305,41,0,0,171,15768,9785
95,firstcoastaccidentlawyers.com,subdomains,192.124.249.157,NA,28,5126085,269,201,0,2,250,233,0,2392,2307,825,85,606,0,0,0,2,1178,361
96,www.klflaw.com,subdomains,159.135.3.192,NA,25,6878677,92,40,0,1,101,83,19,547,547,179,0,5,0,0,0,4,293,74
97,darrellcastle.com,subdomains,104.199.113.155,NA,32,3489653,254,154,0,6,286,213,334,6413,6398,2050,15,140,0,0,0,91,2708,1308
98,www.wilkesmee.com,subdomains,199.34.229.100,NA,7,23101030,26,13,0,0,28,25,42,72,70,23,2,10,0,0,0,0,154,15
99,www.standavislaw.com,subdomains,104.31.84.253,NA,10,19027040,345,63,0,1,359,229,162,11543,11532,991,11,67,0,0,0,4,1149,125
100,www.gemmalaw.com,subdomains,104.27.164.68,NA,24,7207508,179,111,0,0,192,183,67,8917,8912,7604,5,118,0,0,0,0,2089,590
101,www.philliphmiller.com,subdomains,52.14.185.128,NA,28,5001832,196,155,0,5,256,200,0,7472,7388,4596,84,202,0,0,0,57,0,0
102,www.haymondlaw.com,subdomains,104.27.146.142,NA,29,4420349,250,160,0,1,271,241,21,12084,12068,3126,16,7007,0,0,0,14,1123,518
103,www.dudleydebosier.com,subdomains,104.154.105.168,NA,30,4164815,337,195,0,0,305,277,134,6459,6421,4511,37,305,1,0,0,0,3914,1586
104,stevewatrel.com,subdomains,104.197.26.149,NA,2.6,42167513,96,48,0,0,78,77,129,936,923,606,13,54,0,0,0,0,345,79
105,www.pohlberkattorneys.com,subdomains,208.79.233.148,NA,12,15681616,38,21,0,1,155,98,24,2847,2847,307,0,2,0,0,0,154,108,5
106,www.lombardilawoffice.com,subdomains,35.238.58.30,NA,6,27171224,4,1,0,0,4,4,15,26,26,14,0,0,0,0,0,0,73,16
107,attorneys.superlawyers.com,subdomains,104.18.93.72,NA,89,2070,1390,1126,1,14,1392,1052,29,85060,85037,10039,6,65634,0,15,10,90,147539,313175
108,www.edwardwomac.com,subdomains,64.70.194.100,NA,34,2899393,220,75,0,1,148,137,40,1597,1583,988,14,59,0,0,0,3,905,488
109,danaanddana.com,subdomains,35.202.221.66,NA,22,8117837,79,48,0,1,155,121,138,2182,2179,107,0,27,0,0,0,30,343,66
110,www.jaxinjuryattorney.com,subdomains,NA,NA,4.8,30400954,29,20,0,1,57,52,0,337,337,148,0,1,0,0,0,2,31,1
111,www.mfclaw.com,subdomains,209.182.196.192,NA,4.7,31063331,17,7,0,0,20,19,4,158,158,130,0,10,0,0,0,0,206,34
112,www.lavislaw.com,subdomains,35.196.80.16,NA,19,9720256,259,154,1,2,377,280,106,7122,6567,1412,37,118,0,515,2,71,5540,1843
113,klandrylaw.com,subdomains,209.124.75.167,NA,18,10620280,291,175,0,2,366,270,184,9676,9652,3974,13,453,0,0,0,51,697,152
114,cartermario.com,subdomains,34.71.54.246,NA,29,4632103,324,146,0,0,294,267,332,6725,6674,3915,51,371,0,0,0,0,2995,2054
115,kennedydoyle.com,subdomains,23.227.38.32,NA,9,20733577,42,13,0,0,33,32,6,746,724,135,22,1,0,0,0,0,107,91
116,wdoonanlaw.com,subdomains,64.91.231.208,NA,4,34179701,51,17,0,0,57,54,13,674,674,625,0,12,0,0,0,0,80,94
117,www.morrisbart.com,subdomains,192.124.249.153,NA,30,4087736,640,377,0,11,576,505,0,5027,4948,2054,46,772,22,0,0,36,13914,6400
118,www.marksalomone.com,subdomains,104.239.245.56,NA,24,7334768,303,154,0,2,339,280,246,13794,13552,4818,242,138,0,0,0,7,3378,1317
119,www.19percent.com,subdomains,64.41.158.36,NA,3.9,34331049,27,15,0,1,204,105,84,2226,2212,1327,14,9,0,0,0,64,195,36
120,hhklawfirm.com,subdomains,45.33.5.186,NA,38,1924043,422,296,0,3,455,355,106,27287,27253,1616,23,260,0,0,0,6,6619,1749
121,www.trantololaw.com,subdomains,NA,NA,33,3099745,363,159,0,2,354,318,0,3123,3108,631,3,442,0,0,0,8,7032,1555
122,www.michaelhingle.com,subdomains,107.180.51.17,NA,2.7,41284951,29,12,0,0,31,29,0,791,791,704,0,4,0,0,0,0,0,0
123,www.berensonlaw.com,subdomains,64.41.137.167,NA,19,9738522,129,89,0,1,576,228,35,19016,19014,2551,2,25,0,0,0,43,1268,674
124,www.frischhertzlaw.com,subdomains,104.16.109.239,NA,20,9230949,115,41,0,0,75,71,120,3678,3255,2231,423,314,0,0,0,0,499,64
125,www.mccoymccoy.com,subdomains,142.93.115.93,NA,9,20096138,71,27,0,1,146,95,0,7674,7674,333,0,10,0,0,0,18,0,0
126,www.cardonelaw.com,subdomains,64.41.159.62,NA,14,13841333,85,33,0,1,389,172,36,8849,8814,1301,35,16,0,0,0,63,743,174
127,www.maafirm.com,subdomains,35.225.139.103,NA,30,4315693,402,262,0,1,437,343,29,5367,5125,1124,238,134,2,0,0,23,3889,895
128,www.riscassi-davis.com,subdomains,70.166.63.23,NA,26,6496769,125,79,0,1,292,198,43,14508,14248,2849,44,259,75,0,0,28,1931,502
129,www.chipforstall.com,subdomains,66.172.32.76,NA,7,22733774,127,44,0,0,97,93,20,2857,2834,1380,1,1103,22,0,0,0,315,228
130,www.cobywootenlaw.com,subdomains,54.236.107.29,NA,5,30006178,78,34,0,0,82,79,132,1335,1335,1095,0,80,0,0,0,0,848,134
131,www.cicchiellolaw.com,subdomains,64.70.194.139,NA,17,10890123,57,23,0,0,57,57,10,818,812,117,6,17,0,0,0,0,749,347
132,www.neworleanspersonalinjury.com,subdomains,NA,NA,28,4939938,190,136,0,1,284,221,0,3361,3360,1565,1,15,0,0,0,42,607,55
133,www.zipfel-law.com,subdomains,64.70.194.114,NA,1,62196949,57,19,0,0,57,54,19,3695,3695,179,0,17,0,0,0,0,118,17
134,fortworth.1800-car-wreck.com,subdomains,104.22.27.77,NA,29,4413871,26,18,0,0,34,33,38,455,455,336,0,1,0,0,0,0,147,29
135,www.thelambertfirm.com,subdomains,192.124.249.9,NA,21,8828013,129,96,0,2,251,168,0,4541,4512,1161,29,74,0,0,0,33,8,0
136,www.800perkins.com,subdomains,104.16.109.239,NA,21,8651427,234,133,1,2,392,295,33,14589,14579,5573,10,2347,0,0,2,32,1746,557
137,www.1800lionlaw.com,subdomains,107.154.149.54,NA,24,7374240,177,107,0,1,206,181,0,1117,1104,383,13,105,0,0,0,45,7771,4120
138,www.magnesslaw.com,subdomains,104.154.148.226,NA,9,20669643,120,84,0,0,132,129,31,2263,2236,1875,27,13,0,0,0,0,982,95
139,www.psp-law.net,subdomains,104.24.107.173,NA,8,22354667,129,51,0,0,113,109,25,3419,3408,2983,11,40,0,0,0,0,606,84
140,thereddylawgroup.com,subdomains,35.225.44.14,NA,11,16778565,28,13,0,0,18,18,16,2618,2618,44,0,2,0,0,0,0,171,42
141,www.adlerlawgroupllc.com,subdomains,104.16.109.239,NA,8,20901663,111,34,0,0,94,89,122,3670,3667,1567,3,414,0,0,0,0,484,150
142,www.anderson-cummings.com,subdomains,161.47.47.252,NA,11,16174835,94,49,0,1,183,137,77,3267,1350,234,1917,11,0,0,0,2,2597,834
143,www.kocianlaw.com,subdomains,192.169.174.4,NA,12,15094468,133,94,0,0,129,121,19,2041,2041,1602,0,54,0,0,0,0,159,106
144,darrylbreauxlaw.com,subdomains,132.148.31.32,NA,3,39820476,103,46,0,3,67,64,2,2130,2127,334,2,17,1,0,0,3,78,13
145,www.injuryattorneyoftexas.com,subdomains,67.225.169.93,NA,13,14073156,44,25,0,0,52,50,65,176,164,111,12,17,0,0,0,0,307,89
146,hershcrockett.com,subdomains,198.185.159.145,NA,5,28805200,73,21,0,0,52,50,29,605,576,494,6,10,0,0,0,0,180,35
147,www.chopinlawfirm.com,subdomains,64.70.194.133,NA,3.9,34707487,55,20,0,0,42,42,36,542,542,174,0,14,0,0,0,0,394,100
148,dougnewbornlawfirm.com,subdomains,172.67.214.195,NA,22,7993842,98,60,0,1,132,113,33,1909,1907,1209,2,17,0,0,0,9,334,1298
149,www.weinandpalermo.com,subdomains,35.246.6.109,NA,4.7,30867900,128,92,0,0,127,121,7,4519,4499,3838,18,47,0,0,0,0,76,3
150,www.warriorsforjustice.com,subdomains,104.26.15.242,NA,49,781458,525,393,0,4,551,440,125,324361,324346,669,5,279,0,0,0,13,11575,11347
151,www.shlosmanlaw.com,subdomains,35.239.44.108,NA,6,27905717,22,5,0,0,23,23,0,61,61,41,0,1,0,0,0,0,0,0
152,anzianobertucio.com,subdomains,NA,NA,1.5,53164131,36,14,0,0,42,40,0,391,391,110,0,64,0,0,0,0,40,2
153,thrushlawgroup.com,subdomains,173.255.218.191,NA,10,17594181,193,101,0,1,225,197,78,7919,7552,2304,347,107,0,0,0,4,1198,285
154,www.fhlawgroup.com,subdomains,104.198.106.218,NA,7,25206813,163,40,1,3,277,212,255,3838,3823,347,15,216,0,0,1,29,1420,200
155,www.nola-law.com,subdomains,104.16.111.239,NA,3.2,38145379,82,32,0,1,80,79,50,461,415,270,42,11,0,0,0,2,278,77
156,hughesmathews.com,subdomains,67.225.236.189,NA,1,61812263,102,39,0,0,78,75,5,5922,5917,3190,2,73,0,0,0,0,963,11
157,www.woodsonlawfirm.com,subdomains,104.193.110.81,NA,4.3,32541737,33,16,0,1,125,82,20,1475,1474,81,1,2,0,0,0,12,154,29
158,www.zayaslaw.com,subdomains,64.70.194.134,NA,6,27269966,90,31,0,0,75,73,40,643,642,268,1,44,0,0,0,0,285,124
159,www.turbin.net,subdomains,104.16.110.239,NA,8,20856416,87,48,0,1,151,122,49,1505,1501,380,4,58,0,0,0,44,359,53
160,www.randallmoorelaw.com,subdomains,45.32.207.87,NA,2.1,46654736,102,48,0,0,77,76,0,16458,16453,2491,1,69,0,0,0,0,0,0
161,zaneslaw.com,subdomains,35.227.42.250,NA,47,854265,528,348,0,4,668,513,472,34736,34678,2285,50,207,0,0,0,238,10455,3741
162,www.scherrlegate.com,subdomains,198.12.158.109,NA,11,16469174,65,31,0,0,73,72,7,1718,1704,270,14,9,0,0,0,0,182,104
163,gaadlaw.com,subdomains,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,www.gofflawgroup.net,subdomains,64.70.194.125,NA,6,25619478,61,27,0,0,68,63,26,529,529,182,0,2,0,0,0,0,303,110
165,www.thebentonlawfirm.com,subdomains,173.249.157.37,NA,28,4834359,353,233,0,2,476,379,93,53841,53751,2966,48,944,0,42,0,36,7842,1086
166,www.accidentlawyerhawaii.com,subdomains,50.21.187.201,NA,27,5717180,167,123,8,7,235,187,20,339308,339308,1030,0,63,0,0,170,133,715,80
167,www.michaelgopin.com,subdomains,54.175.148.58,NA,35,2557085,296,114,0,0,196,160,123,5319,5318,4254,1,48,0,0,0,0,1073,379
168,www.cateslegal.com,subdomains,35.224.171.235,NA,7,24883405,39,24,0,1,153,90,7,3153,3027,188,126,31,0,0,0,14,189,37
169,www.attorneykohm.com,subdomains,45.79.129.37,NA,27,5312380,363,199,0,0,343,313,120,14003,13965,10045,20,360,0,0,0,0,5165,1326
170,www.ctautoinjurylawyer.com,subdomains,67.225.188.80,NA,8,21865687,41,29,0,0,34,32,158,247,247,49,0,0,0,0,0,0,43,1
171,www.lyslaw.com,subdomains,52.18.26.20,NA,18,10026916,195,131,0,1,217,191,120,2795,2761,535,6,273,0,0,0,15,756,335
172,www.tatelawoffices.com,subdomains,54.175.148.58,NA,46,948267,644,438,0,5,755,575,373,59224,59191,4815,29,252,4,0,0,86,5352,2499
173,www.arandalawfirm.com,subdomains,208.113.205.115,NA,2.7,41819438,84,43,0,0,118,101,20,1986,1985,389,1,80,0,0,0,0,399,146
174,lernerandrowe.com,subdomains,104.25.246.95,NA,56,375444,946,648,0,8,784,608,955,127443,123461,9120,3937,60817,15,0,0,38,13443,5464
175,www.steinkemperlaw.com,subdomains,107.180.43.192,NA,0.6,72705950,5,2,0,0,5,5,0,47,47,23,0,2,0,0,0,0,0,0
176,lawofficeoffranciscomartinez.business.site,subdomains,NA,NA,92,406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,www.recoverylawcenterhawaii.com,subdomains,54.175.148.58,NA,11,16804550,156,93,0,1,212,190,104,3692,3663,2684,29,51,0,0,0,22,1376,326
178,www.barrow-law.com,subdomains,104.16.111.239,NA,2.2,45829795,25,12,0,0,27,27,22,23548,23501,67,15,722,0,0,0,0,165,32
179,1800theeagle.com,subdomains,104.255.196.220,NA,39,1624863,935,390,0,9,616,539,751,90645,90296,6294,295,750,1,0,0,107,4797,1485
180,jasonhubbardlaw.com,subdomains,NA,NA,17,11472350,27,13,0,0,31,31,0,117,117,46,0,1,0,0,0,0,88,6
181,dickersonlaw.com,subdomains,192.0.78.137,NA,19,9675034,66,15,0,1,55,52,35,1451,1437,1237,7,60,0,7,0,2,64,15
182,www.macleanfirm.com,subdomains,104.16.112.239,NA,3.4,37116772,35,15,0,0,37,36,14,6121,6121,89,0,4301,0,0,0,0,108,16
183,www.denniswpottslaw.com,subdomains,69.167.188.253,NA,33,3125033,188,118,0,2,258,218,140,2946,2925,1443,9,99,12,0,0,51,312,206
